time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.52189145845e-07,5.65932276309e-07,7.00204869315,0.00048755120112,0.000408561463701,0.0,-3.75190463648e-05,4.60888185186e-05,0.0682875084515,0.0207796611068,0.0177908789754,0.0,425.4173809209783,426.9376696802673,426.37440510572435,428.14560897413827
0.12000000000000001,-1.36927782605e-05,1.62434247894e-05,7.00649318072,0.00169674736689,0.00157256941177,0.0,-0.000503198187549,0.000585706410029,0.0798610287971,0.0188702211408,0.0224383802848,0.0,407.6121144992345,408.0271543502081,408.04400065902104,407.8735520817571
0.18,-8.07221073667e-05,8.98726954023e-05,7.01384267145,0.0024996062874,0.00292747315992,0.0,-0.00186592664142,0.00196840104905,0.165112349286,-0.00083207841933,0.0228668652854,0.0,433.1245355603657,433.16061060532587,432.1041779256752,430.4402696330436
0.23999999999999996,-0.000281386941732,0.0002771786025,7.03392395882,0.00229678157276,0.00442869774336,0.0,-0.00502047226835,0.00425831534955,0.504175923223,-0.00903870104339,0.0290122873563,0.0,506.7618184409068,507.2033095244084,507.66441472568397,507.07538555543016
0.3,-0.000669022470738,0.000572664113836,7.06468306681,0.00186485746356,0.00628976734101,0.0,-0.0080624820886,0.00554769027309,0.521119219478,-0.00375166421119,0.0347535035213,0.0,409.4612275648897,409.9720037518151,410.0045958747343,410.4740859452812
0.36000000000000004,-0.00130347393801,0.000946770638487,7.10086769429,0.00120632192595,0.0083611927037,0.0,-0.0133169933374,0.00688061097212,0.684949117973,-0.0321377526681,0.0340603563185,0.0,456.5980361494005,456.5432085334613,458.5921015603764,456.33217698834267
0.4200000000000001,-0.00228746666399,0.00137818320979,7.14547966979,6.28294284092,0.0102736164668,0.0,-0.0196893145946,0.00732687859138,0.802039603826,-0.0116601618408,0.0270973302936,0.0,443.815902563154,443.2444846538296,441.2213096719494,442.90830617433517
0.48000000000000015,-0.00375472396847,0.0018079138096,7.20295654961,6.28238209455,0.0120858806961,0.0,-0.0294466548658,0.00691403110617,1.11360339971,-0.00507796674569,0.0357881641062,0.0,499.8135965508777,500.44668556233097,500.1081188715444,500.5873875794886
0.5400000000000001,-0.00574847385825,0.00220767862337,7.27022038025,6.28254247799,0.0149831607857,0.0,-0.0372437361724,0.00640798990105,1.12850644106,0.0148623742718,0.0657835588067,0.0,408.7112726568705,411.37716076565516,409.674928751778,411.44391848196443
0.6000000000000002,-0.00829339742276,0.00258339688545,7.33996729026,0.000792171130492,0.0195545732986,0.0,-0.0480055057147,0.00623332962704,1.19631460175,0.0376835401268,0.0914877893694,0.0,426.9284501773488,429.1203651442851,426.7756764085506,428.71899766818547
0.6600000000000003,-0.0115576111984,0.00298000643989,7.41274961241,0.00307434768912,0.024807814215,0.0,-0.0612972123988,0.00719625259979,1.22971588803,0.0387324047597,0.0782271893684,0.0,416.7684308635622,415.61478385982497,417.24574250154143,417.338092236789
0.7200000000000003,-0.0157602186354,0.00348328030515,7.48928518095,0.00504298125579,0.0299551110079,0.0,-0.0792861783349,0.0097993444514,1.32135319868,0.0170529589387,0.0977316261784,0.0,434.9191536821915,436.55559501354446,436.843185514837,435.03226046107227
0.7800000000000004,-0.0211652489683,0.00418031864922,7.57177203019,0.00581550194154,0.0357469356959,0.0,-0.101478013456,0.0135286943423,1.42806009177,0.0028359164277,0.0940147617128,0.0,440.627524560482,440.3282204997056,441.87150103393594,440.6979372473468
0.8400000000000004,-0.0281189050819,0.00512945132518,7.66327797804,0.00610416569332,0.0418292031892,0.0,-0.130984054234,0.0181342894339,1.62185559207,0.00849470833325,0.11305319203,0.0,467.3413047597612,468.8309137202451,467.42723564080364,467.8678931144621
0.9000000000000005,-0.0369872572939,0.00636251211764,7.76633865605,0.00632097165369,0.0486094822149,0.0,-0.165399007672,0.0230105006025,1.81317878217,-0.00857916340661,0.11290747942,0.0,466.8918587308828,466.8911749922215,469.24909149432654,467.92187697494757
0.9600000000000005,-0.0481172658368,0.00789362732063,7.8816324644,0.00587576394866,0.0554277994174,0.0,-0.206393876842,0.0279670317811,2.02954412671,-0.00519729790028,0.115060941713,0.0,476.5145473627485,476.68966678195227,474.8871747532485,475.1466114293026
1.0200000000000005,-0.0616904263976,0.00969342318982,8.00669509932,0.00533412553369,0.0623083394327,0.0,-0.246746506366,0.031982024605,2.13896529218,-0.0180678107313,0.113894502888,0.0,444.30522541863013,444.2213291630229,444.79845521074964,443.74333724579685
1.0800000000000005,-0.0779268499172,0.0117276292734,8.13985157511,0.00411887507907,0.0693537421878,0.0,-0.295218966242,0.0356958848489,2.29921823123,-0.0250304899348,0.123677393954,0.0,459.56643860257617,460.3529696417652,461.25283238055357,460.7026969588813
1.1400000000000006,-0.0970390067776,0.0139451847051,8.27987333434,0.00269480977862,0.0773287044153,0.0,-0.342597545149,0.0380794713761,2.36797041663,-0.0212609990497,0.146887391529,0.0,432.97442778249274,434.9389998630532,431.20394974771034,431.52217379032226
1.2000000000000006,-0.119128130021,0.0162775693003,8.42365601395,0.000998240611398,0.0856803966925,0.0,-0.394525883328,0.0395300244478,2.42458867524,-0.0484747740919,0.115757781878,0.0,430.26522767901935,427.6398092691191,430.5862661147306,428.27750410385977
1.2600000000000007,-0.145025764855,0.018662933032,8.57698368575,6.28228583294,0.0920981983914,0.0,-0.469535961037,0.0396947510251,2.6856636359,-0.0101693295722,0.0766518603132,0.0,492.2528468630676,489.35876407758815,491.16041169258176,493.99251592536183
